TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD
Break and Enter Commercial,2016,4,25,22,47,Central Business District
Offence Against a Person,2016,1,19,,,Riley Park
Offence Against a Person,2016,4,18,,,Riley Park
Offence Against a Person,2016,10,9,,,Riley Park
Theft from Vehicle,2016,12,3,10,0,Strathcona
Theft from Vehicle,2016,3,8,11,0,Strathcona
Break and Enter Commercial,2016,7,4,17,45,Central Business District
Other Theft,2016,5,12,17,0,Kensington-Cedar Cottage
Offence Against a Person,2016,5,10,,,Riley Park
Offence Against a Person,2016,10,18,,,Riley Park
Other Theft,2016,3,18,0,0,Kensington-Cedar Cottage
Offence Against a Person,2016,8,6,,,Riley Park
Break and Enter Commercial,2016,5,24,9,22,Central Business District
Other Theft,2016,8,6,12,48,Kensington-Cedar Cottage
Other Theft,2016,1,13,21,0,Kensington-Cedar Cottage
Other Theft,2016,7,14,16,0,Kensington-Cedar Cottage
Other Theft,2016,7,18,9,5,Kensington-Cedar Cottage
Break and Enter Commercial,2016,10,4,11,50,Central Business District
Other Theft,2016,11,3,10,42,Kensington-Cedar Cottage
Other Theft,2016,1,31,13,56,Kensington-Cedar Cottage
Other Theft,2016,2,4,10,20,Victoria-Fraserview
Theft from Vehicle,2016,7,10,11,52,Central Business District
Theft from Vehicle,2016,6,2,9,30,Central Business District
Mischief,2016,10,26,14,44,West End
Theft from Vehicle,2016,5,14,9,0,Central Business District
Theft from Vehicle,2016,2,22,9,30,Central Business District
Theft from Vehicle,2016,1,16,10,30,Central Business District
Theft from Vehicle,2016,2,15,0,0,Killarney
Mischief,2016,7,2,22,59,West End
Mischief,2016,6,3,23,30,West End
Break and Enter Commercial,2016,4,12,0,12,Central Business District
Other Theft,2016,4,10,13,25,Grandview-Woodland
Theft from Vehicle,2016,11,2,22,30,Victoria-Fraserview
Other Theft,2016,7,18,17,0,Central Business District
Theft from Vehicle,2016,5,27,7,15,Renfrew-Collingwood
Theft from Vehicle,2016,10,11,0,0,Renfrew-Collingwood
Break and Enter Commercial,2016,7,25,2,35,Central Business District
Break and Enter Commercial,2016,8,11,2,49,Central Business District
Break and Enter Commercial,2016,10,8,15,30,Central Business District
Theft from Vehicle,2016,10,30,9,0,Victoria-Fraserview
Theft from Vehicle,2016,7,30,8,38,Central Business District
Theft from Vehicle,2016,6,20,18,40,Central Business District
Theft from Vehicle,2016,6,1,21,0,Central Business District
Theft from Vehicle,2016,5,8,2,0,Central Business District
Mischief,2016,3,13,19,0,West End
Theft from Vehicle,2016,5,4,21,0,Central Business District
Mischief,2016,1,21,23,0,West End
Theft from Vehicle,2016,3,18,14,30,Central Business District
Theft from Vehicle,2016,3,7,0,6,Central Business District
Theft of Vehicle,2016,8,28,21,30,Mount Pleasant
Theft from Vehicle,2016,3,6,22,30,Central Business District
Mischief,2016,6,30,9,37,Grandview-Woodland
Theft from Vehicle,2016,2,4,11,32,Central Business District
Theft of Vehicle,2016,8,16,14,0,Mount Pleasant
Theft from Vehicle,2016,1,31,16,0,Central Business District
Mischief,2016,9,6,21,0,Mount Pleasant
Break and Enter Commercial,2016,8,11,14,1,Marpole
Mischief,2016,11,7,13,20,West End
Mischief,2016,3,22,0,8,West End
Mischief,2016,9,2,10,32,West End
Other Theft,2016,8,15,11,30,Grandview-Woodland
Other Theft,2016,7,12,15,0,Grandview-Woodland
Other Theft,2016,11,16,11,6,Strathcona
Offence Against a Person,2016,11,6,,,Riley Park
Theft of Vehicle,2016,6,19,15,30,Hastings-Sunrise
Break and Enter Commercial,2016,3,1,3,24,Mount Pleasant
Break and Enter Commercial,2016,5,9,0,0,Mount Pleasant
Other Theft,2016,5,23,8,15,Kensington-Cedar Cottage
Other Theft,2016,4,15,11,3,Grandview-Woodland
Mischief,2016,3,23,4,8,Grandview-Woodland
Other Theft,2016,3,17,23,40,Kensington-Cedar Cottage
Offence Against a Person,2016,2,16,,,Riley Park
Other Theft,2016,9,14,18,0,West End
Other Theft,2016,8,7,0,0,Central Business District
Other Theft,2016,10,1,15,1,Central Business District
Other Theft,2016,2,20,9,17,West End
Mischief,2016,6,21,4,57,Mount Pleasant
Offence Against a Person,2016,9,26,,,Riley Park
Other Theft,2016,9,7,21,30,West End
Other Theft,2016,9,8,2,0,West End
Other Theft,2016,9,18,19,40,West End
Break and Enter Commercial,2016,10,7,6,55,Central Business District
Other Theft,2016,10,21,14,28,Kensington-Cedar Cottage
Other Theft,2016,7,26,21,0,Grandview-Woodland
Other Theft,2016,6,28,17,53,Renfrew-Collingwood
Theft from Vehicle,2016,7,20,23,0,Victoria-Fraserview
Break and Enter Commercial,2016,6,16,5,0,Mount Pleasant
Offence Against a Person,2016,11,11,,,Riley Park
Break and Enter Commercial,2016,9,22,5,23,Central Business District
Offence Against a Person,2016,1,13,,,Riley Park
Theft from Vehicle,2016,5,18,7,45,West End
Mischief,2016,1,4,18,0,West End
Theft of Vehicle,2016,7,16,3,0,Riley Park
Mischief,2016,8,20,22,41,Grandview-Woodland
Other Theft,2016,1,4,16,24,Grandview-Woodland
Other Theft,2016,6,7,16,30,West End
Theft from Vehicle,2016,3,14,19,0,Central Business District
Break and Enter Commercial,2016,4,10,9,53,Central Business District
Break and Enter Commercial,2016,9,14,20,0,Central Business District
Theft from Vehicle,2016,11,8,3,0,Central Business District
Theft from Vehicle,2016,11,26,15,30,Central Business District
Theft from Vehicle,2016,2,13,14,15,Central Business District
Theft of Vehicle,2016,3,29,0,0,Renfrew-Collingwood
Theft from Vehicle,2016,10,16,13,0,Kitsilano
Other Theft,2016,10,12,22,0,Kensington-Cedar Cottage
Break and Enter Commercial,2016,1,14,9,0,Central Business District
Break and Enter Commercial,2016,6,6,15,0,Central Business District
Break and Enter Commercial,2016,9,15,2,20,Central Business District
Offence Against a Person,2016,11,30,,,Riley Park
Theft from Vehicle,2016,2,9,21,0,Hastings-Sunrise
Mischief,2016,6,2,8,0,Grandview-Woodland
Mischief,2016,1,27,16,24,Grandview-Woodland
Other Theft,2016,5,31,11,8,Grandview-Woodland
Offence Against a Person,2016,11,5,,,Riley Park
Other Theft,2016,7,29,23,0,Grandview-Woodland
Other Theft,2016,4,6,12,30,Grandview-Woodland
Other Theft,2016,2,22,18,0,Hastings-Sunrise
Mischief,2016,3,19,23,1,Grandview-Woodland
Mischief,2016,1,7,18,30,Grandview-Woodland
Mischief,2016,7,24,18,23,Grandview-Woodland
Other Theft,2016,6,12,17,28,Central Business District
Other Theft,2016,10,14,23,45,Mount Pleasant
Other Theft,2016,1,11,20,53,Grandview-Woodland
Other Theft,2016,7,19,1,34,Grandview-Woodland
Mischief,2016,1,31,20,30,Grandview-Woodland
Offence Against a Person,2016,8,8,,,Riley Park
Offence Against a Person,2016,1,19,,,Riley Park
Theft from Vehicle,2016,7,31,1,0,Central Business District
Theft from Vehicle,2016,10,29,13,46,Central Business District
Theft from Vehicle,2016,10,17,21,0,Central Business District
Theft from Vehicle,2016,7,22,15,0,Central Business District
Theft from Vehicle,2016,7,18,12,38,Central Business District
Theft from Vehicle,2016,9,5,19,0,Central Business District
Mischief,2016,9,23,16,40,Kensington-Cedar Cottage
Mischief,2016,9,2,22,47,Kensington-Cedar Cottage
Other Theft,2016,10,2,11,40,Strathcona
Theft from Vehicle,2016,10,13,20,0,Central Business District
Theft from Vehicle,2016,10,13,19,30,Central Business District
Offence Against a Person,2016,1,7,,,Riley Park
Offence Against a Person,2016,5,30,,,Riley Park
Break and Enter Commercial,2016,5,9,3,58,Central Business District
Break and Enter Commercial,2016,5,21,15,34,Central Business District
Break and Enter Commercial,2016,6,17,9,0,Central Business District
Break and Enter Commercial,2016,9,18,20,55,Central Business District
Mischief,2016,8,8,16,5,Kensington-Cedar Cottage
Mischief,2016,4,2,14,30,Grandview-Woodland
Other Theft,2016,11,16,15,15,Strathcona
Mischief,2016,1,31,10,15,Victoria-Fraserview
Other Theft,2016,8,1,21,30,Riley Park
Offence Against a Person,2016,7,16,,,Riley Park
Offence Against a Person,2016,8,22,,,Riley Park
Theft from Vehicle,2016,9,24,22,0,Central Business District
Theft from Vehicle,2016,9,15,9,0,Central Business District
Theft from Vehicle,2016,9,3,8,0,Central Business District
Mischief,2016,8,18,18,30,Victoria-Fraserview
Offence Against a Person,2016,11,25,,,Riley Park
Offence Against a Person,2016,7,23,,,Riley Park
Theft from Vehicle,2016,9,2,20,30,Central Business District
Break and Enter Commercial,2016,5,21,4,56,West End
Break and Enter Commercial,2016,6,2,11,28,West End
Break and Enter Commercial,2016,7,18,18,0,West End
Break and Enter Commercial,2016,8,8,23,0,West End
Mischief,2016,11,25,17,49,Victoria-Fraserview
Break and Enter Commercial,2016,5,12,4,0,West End
Mischief,2016,11,20,10,27,Victoria-Fraserview
Mischief,2016,11,3,14,11,Victoria-Fraserview
Mischief,2016,9,16,13,50,Victoria-Fraserview
Theft from Vehicle,2016,8,15,18,30,Central Business District
Offence Against a Person,2016,7,22,,,Riley Park
Break and Enter Commercial,2016,9,20,0,16,Grandview-Woodland
Offence Against a Person,2016,6,8,,,Riley Park
Offence Against a Person,2016,11,27,,,Riley Park
Theft from Vehicle,2016,8,15,18,0,Central Business District
Theft from Vehicle,2016,7,23,18,0,Hastings-Sunrise
Theft from Vehicle,2016,8,12,15,15,Central Business District
Theft from Vehicle,2016,7,29,20,1,Central Business District
Theft from Vehicle,2016,7,23,21,0,Central Business District
Theft from Vehicle,2016,7,23,20,0,Central Business District
Other Theft,2016,5,29,13,7,Renfrew-Collingwood
Other Theft,2016,6,25,13,50,Renfrew-Collingwood
Other Theft,2016,5,7,22,0,Renfrew-Collingwood
Theft of Vehicle,2016,3,23,16,0,Riley Park
Theft from Vehicle,2016,7,23,19,30,Central Business District
Theft from Vehicle,2016,7,13,18,30,Central Business District
Theft from Vehicle,2016,6,26,10,0,Central Business District
Offence Against a Person,2016,9,12,,,Riley Park
Theft from Vehicle,2016,6,25,8,41,Central Business District
Theft from Vehicle,2016,5,21,17,30,Central Business District
Theft from Vehicle,2016,4,30,20,30,Central Business District
Theft from Vehicle,2016,4,4,16,40,Central Business District
Offence Against a Person,2016,11,27,,,Riley Park
Theft from Vehicle,2016,4,3,21,0,Central Business District
Theft from Vehicle,2016,3,21,18,50,Central Business District
Theft from Vehicle,2016,3,18,21,1,Central Business District
Theft from Vehicle,2016,3,16,16,30,Central Business District
Break and Enter Commercial,2016,9,9,3,24,Central Business District
Theft from Vehicle,2016,2,27,19,30,Central Business District
Mischief,2016,10,30,1,0,Kensington-Cedar Cottage
Theft of Vehicle,2016,8,31,20,0,Hastings-Sunrise
Mischief,2016,10,10,19,30,Kensington-Cedar Cottage
Mischief,2016,10,17,23,0,Kensington-Cedar Cottage
Mischief,2016,5,31,8,53,Kensington-Cedar Cottage
Mischief,2016,10,3,6,30,Kensington-Cedar Cottage
Mischief,2016,2,9,9,0,Kensington-Cedar Cottage
Offence Against a Person,2016,10,15,,,Riley Park
Mischief,2016,3,28,20,38,Grandview-Woodland
Offence Against a Person,2016,1,24,,,Riley Park
Theft from Vehicle,2016,8,31,21,45,Shaughnessy
Break and Enter Commercial,2016,2,27,20,36,Central Business District
Break and Enter Commercial,2016,4,12,20,15,Central Business District
Break and Enter Commercial,2016,1,28,5,30,Central Business District
Theft of Vehicle,2016,10,10,15,41,Victoria-Fraserview
Mischief,2016,11,17,19,21,West End
Break and Enter Commercial,2016,11,14,1,45,Mount Pleasant
Other Theft,2016,7,6,18,57,Killarney
Other Theft,2016,1,27,18,0,Renfrew-Collingwood
Offence Against a Person,2016,8,27,,,Riley Park
Break and Enter Commercial,2016,2,12,17,0,Strathcona
Theft from Vehicle,2016,2,16,22,30,Hastings-Sunrise
Mischief,2016,3,4,21,0,West End
Mischief,2016,1,10,1,2,West End
Break and Enter Commercial,2016,2,5,3,0,Strathcona
Break and Enter Commercial,2016,2,15,8,32,Strathcona
Break and Enter Commercial,2016,3,3,23,6,Strathcona
Break and Enter Commercial,2016,5,23,6,14,Strathcona
Break and Enter Commercial,2016,6,1,22,0,Strathcona
Break and Enter Commercial,2016,6,11,1,38,Strathcona
Break and Enter Commercial,2016,6,27,2,52,Strathcona
Break and Enter Commercial,2016,10,2,16,26,Strathcona
Break and Enter Commercial,2016,10,11,18,54,Strathcona
Break and Enter Commercial,2016,11,24,5,3,Strathcona
Mischief,2016,1,19,15,0,West End
Other Theft,2016,11,23,22,13,West End
Theft of Vehicle,2016,1,24,20,0,Sunset
Break and Enter Commercial,2016,3,5,3,7,Strathcona
Break and Enter Commercial,2016,3,22,4,41,Strathcona
Break and Enter Commercial,2016,4,24,18,30,Strathcona
Break and Enter Commercial,2016,7,6,1,27,Strathcona
Break and Enter Commercial,2016,8,3,8,40,Central Business District
Theft of Vehicle,2016,9,25,16,0,Mount Pleasant
Theft from Vehicle,2016,3,30,18,0,Victoria-Fraserview
Other Theft,2016,3,8,0,0,Killarney
Other Theft,2016,11,6,0,0,Killarney
Other Theft,2016,5,21,15,0,Killarney
Mischief,2016,8,2,23,44,Strathcona
Other Theft,2016,12,2,18,52,Central Business District
Other Theft,2016,10,2,0,0,Kerrisdale
Other Theft,2016,2,20,16,45,West End
Theft from Vehicle,2016,4,24,18,0,Killarney
Other Theft,2016,6,15,12,0,Kitsilano
Other Theft,2016,7,5,8,0,Kitsilano
Other Theft,2016,1,14,22,0,Kensington-Cedar Cottage
Mischief,2016,4,17,11,0,Mount Pleasant
Mischief,2016,7,21,8,30,West End
Offence Against a Person,2016,5,26,,,Riley Park
Theft from Vehicle,2016,6,1,0,1,Grandview-Woodland
Theft from Vehicle,2016,3,18,19,0,Grandview-Woodland
Theft from Vehicle,2016,6,13,22,0,Grandview-Woodland
Break and Enter Commercial,2016,9,19,1,13,Central Business District
Other Theft,2016,4,29,7,45,Kitsilano
Other Theft,2016,6,5,10,30,Kitsilano
Other Theft,2016,6,21,22,30,Kitsilano
Other Theft,2016,3,5,10,30,Kitsilano
Other Theft,2016,4,28,12,10,West End
Theft of Vehicle,2016,6,1,20,30,Sunset
Theft from Vehicle,2016,9,7,21,0,Killarney
Other Theft,2016,5,14,23,10,Central Business District
Offence Against a Person,2016,9,8,,,Riley Park
Other Theft,2016,8,25,9,52,Kitsilano
Offence Against a Person,2016,5,1,,,Riley Park
Offence Against a Person,2016,3,7,,,Riley Park
Offence Against a Person,2016,8,12,,,Riley Park
Mischief,2016,6,17,17,30,Grandview-Woodland
Other Theft,2016,6,16,7,30,Kitsilano
Break and Enter Commercial,2016,1,7,19,40,Central Business District
Break and Enter Commercial,2016,7,10,19,0,Central Business District
Other Theft,2016,3,10,12,0,Hastings-Sunrise
Offence Against a Person,2016,9,13,,,Riley Park
Theft from Vehicle,2016,1,17,0,0,Fairview
Theft from Vehicle,2016,2,16,17,30,Fairview
Other Theft,2016,9,10,10,57,Central Business District
Theft from Vehicle,2016,1,5,4,20,Fairview
Theft from Vehicle,2016,1,5,0,0,Fairview
Other Theft,2016,6,19,10,0,Central Business District
Theft from Vehicle,2016,10,19,19,30,Fairview
Theft from Vehicle,2016,9,26,14,11,Fairview
Theft from Vehicle,2016,2,7,23,0,Riley Park
Break and Enter Commercial,2016,4,6,11,31,Central Business District
Theft from Vehicle,2016,5,15,22,0,Fairview
Other Theft,2016,11,7,7,54,Kitsilano
Theft from Vehicle,2016,5,22,8,11,Grandview-Woodland
Mischief,2016,10,11,16,45,West End
Break and Enter Commercial,2016,1,18,9,34,Central Business District
Break and Enter Commercial,2016,4,28,4,45,Central Business District
Mischief,2016,1,10,23,0,West End
Break and Enter Commercial,2016,7,21,21,20,West End
Break and Enter Commercial,2016,5,24,2,0,West End
Offence Against a Person,2016,9,8,,,Riley Park
Break and Enter Commercial,2016,11,10,7,36,West End
Other Theft,2016,1,19,12,0,Kerrisdale
Other Theft,2016,5,6,8,40,Kerrisdale
Other Theft,2016,5,27,10,0,Kerrisdale
Other Theft,2016,2,23,23,35,South Cambie
Theft from Vehicle,2016,9,5,12,45,Central Business District
Theft from Vehicle,2016,8,19,16,30,Central Business District
Theft from Vehicle,2016,7,1,19,0,Central Business District
Theft from Vehicle,2016,5,29,10,45,Central Business District
Theft from Vehicle,2016,3,30,18,0,Central Business District
Theft from Vehicle,2016,2,20,14,30,Central Business District
Theft from Vehicle,2016,2,15,12,33,Central Business District
Theft from Vehicle,2016,1,16,10,45,Central Business District
Theft from Vehicle,2016,1,12,12,10,Central Business District
Other Theft,2016,7,21,22,0,South Cambie
Theft from Vehicle,2016,1,10,15,50,Central Business District
Theft from Vehicle,2016,1,4,8,0,Central Business District
Theft from Vehicle,2016,1,3,16,22,Central Business District
Break and Enter Commercial,2016,1,4,23,30,West End
Other Theft,2016,3,17,18,0,South Cambie
Break and Enter Commercial,2016,1,17,23,0,Fairview
Mischief,2016,3,15,1,33,Kitsilano
Theft from Vehicle,2016,11,22,8,45,West End
Theft from Vehicle,2016,9,25,13,30,West End
Break and Enter Commercial,2016,2,28,11,49,Central Business District
Break and Enter Commercial,2016,6,14,11,13,Central Business District
Theft of Vehicle,2016,1,21,15,0,Mount Pleasant
Break and Enter Commercial,2016,7,23,4,0,Central Business District
Break and Enter Commercial,2016,9,12,3,0,Central Business District
Break and Enter Commercial,2016,11,21,4,58,Central Business District
Other Theft,2016,1,26,17,18,Kitsilano
Other Theft,2016,3,8,19,53,Kitsilano
Break and Enter Commercial,2016,2,28,11,9,Central Business District
Break and Enter Commercial,2016,7,10,2,25,Strathcona
Other Theft,2016,3,21,16,45,Kitsilano
Theft of Vehicle,2016,6,25,3,0,Mount Pleasant
Break and Enter Commercial,2016,7,25,14,35,Strathcona
Break and Enter Commercial,2016,10,3,11,22,Strathcona
Break and Enter Commercial,2016,10,7,2,0,Strathcona
Break and Enter Commercial,2016,10,13,16,0,Strathcona
Other Theft,2016,8,5,5,30,Kensington-Cedar Cottage
Other Theft,2016,5,20,11,30,Kitsilano
Offence Against a Person,2016,11,12,,,Riley Park
Other Theft,2016,6,29,11,45,Central Business District
Other Theft,2016,2,27,14,25,Central Business District
Mischief,2016,7,14,22,11,Fairview
Theft from Vehicle,2016,4,3,23,15,West Point Grey
Other Theft,2016,9,17,10,45,Central Business District
Other Theft,2016,6,12,18,28,Central Business District
Other Theft,2016,8,12,12,30,Central Business District
Other Theft,2016,6,24,7,45,Central Business District
Other Theft,2016,6,26,20,27,Central Business District
Other Theft,2016,10,12,12,0,Marpole
Theft from Vehicle,2016,4,11,16,0,Grandview-Woodland
Other Theft,2016,3,27,22,0,Kitsilano
Other Theft,2016,10,13,20,15,Kitsilano
Other Theft,2016,10,31,19,7,Marpole
Other Theft,2016,7,12,8,0,Central Business District
Other Theft,2016,11,3,7,0,Marpole
Other Theft,2016,7,27,20,52,Central Business District
Theft from Vehicle,2016,1,23,20,0,West Point Grey
Other Theft,2016,6,17,10,0,Central Business District
Other Theft,2016,7,28,23,34,Central Business District
Offence Against a Person,2016,1,1,,,Riley Park
Other Theft,2016,3,11,11,13,Kitsilano
Theft from Vehicle,2016,10,5,23,0,West Point Grey
Other Theft,2016,11,7,14,45,Kitsilano
Offence Against a Person,2016,10,24,,,Riley Park
Mischief,2016,8,4,19,0,Marpole
Other Theft,2016,3,22,13,30,Kitsilano
Theft from Vehicle,2016,7,23,23,0,West Point Grey
Theft from Vehicle,2016,5,29,12,0,Fairview
